variable,label,prior_type,median,q025,q975,sd
lcl,log(CL/F),Informative,3.8872848500000003,3.8307800825,3.9444397799999997,0.0288411443404983
lcl,log(CL/F),Weakly Informative,3.88706065,3.827621545,3.94562094,0.029858124670768607
lka,log(Ka),Informative,0.806155065,0.555834945,1.0446965599999998,0.12321915774568501
lka,log(Ka),Weakly Informative,0.793852715,0.557022921,1.0519995224999996,0.1258210185903302
lq,log(Q/F),Informative,2.77701865,2.68759767,2.8667787925,0.04531647512912232
lq,log(Q/F),Weakly Informative,2.7787242,2.6882867700000004,2.8672299375,0.0453734443029662
lv1,log(Vc/F),Informative,3.76762075,3.575368905,3.8982774074999997,0.08188089438873017
lv1,log(Vc/F),Weakly Informative,3.76316775,3.5825683725,3.9039253825,0.08417614969597734
lv2,log(Vp/F),Informative,4.0884497,3.9872878524999997,4.195338437499999,0.053336606893437624
lv2,log(Vp/F),Weakly Informative,4.08863275,3.9854498075,4.198404245,0.05465023832388934
