variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lka,0.804425190655,0.806155065,0.12321915774568501,0.12224140781999998,0.596944774,1.002790985,1.0022678563974465,907.6132617787939,319.23720245402757
lcl,3.8873344381166666,3.8872848500000003,0.0288411443404983,0.028608990900000072,3.83929748,3.93462226,1.0058154370232335,806.8311027612194,1532.1417754867887
lv1,3.7598207481833334,3.76762075,0.08188089438873017,0.07482148463999987,3.6147569749999997,3.87873159,1.0050378793234076,867.8653865049547,280.53641726439605
lq,2.7767162843,2.77701865,0.04531647512912232,0.045413594729999986,2.7021226950000004,2.852409345,1.001508177101116,2572.9564175394703,3989.5769160257614
lv2,4.088339380666667,4.0884497,0.053336606893437624,0.05317018728000045,4.002524465,4.176000855000001,1.0015136248704695,7330.6087578560355,4908.326192729218
omega_ka,0.5424632697016667,0.5475811399999999,0.09261891135739686,0.07594945413300003,0.38844055549999995,0.6796499665000001,1.0101747092959537,315.90603697011085,85.67354253095353
omega_cl,0.29855055469833336,0.29772971000000004,0.02225289494573433,0.02179045419599995,0.2630889835,0.33695113250000003,1.0009119921648635,1267.4605041127986,1641.915745520515
omega_v1,0.11638316126143049,0.09659472050000001,0.09440090710846288,0.0876580066803,0.0081820352,0.2975219315,1.0265752985886945,134.27012027322695,93.23957506058868
sigma_prop,0.20951291258666666,0.209212185,0.009192493377840802,0.009370284042,0.1949264625,0.2249416295,1.0008714903925067,2902.462471874891,4090.4090706518405
sigma_add,0.387182381125,0.38710398,0.060150942492552484,0.05892743442599995,0.28875965200000003,0.48842367200000003,1.0014433362766613,3866.0506484039565,4173.775579435523
Ka_pop,2.2523917582333333,2.2392815,0.2773659295699961,0.27282701418000016,1.81656027,2.72587914,1.0021234728554367,907.6132617787939,319.23720245402757
CL_pop,48.800975734,48.7782665,1.4079428597370915,1.3932918824999954,46.492803,51.142825499999994,1.0058154347348063,806.8319199483775,1532.1417754867887
V1_pop,43.082268404,43.2769765,3.440175245955942,3.23399538,37.1423198,48.362833200000004,1.0049429832165837,867.8651404599474,280.53641726439605
Q_pop,16.082674461833335,16.071036499999998,0.7288208095132839,0.729078928200001,14.91135035,17.32948375,1.001508180577231,2572.9576879886263,3989.5769160257614
V2_pop,59.72571445416666,59.647348,3.191563842843808,3.1682887719000012,54.7361527,65.1049657,1.0015657024774614,7330.6077515655825,4908.326192729218
