study_id,study_label,grouping,time_h,conc_ngml,sd_ngml,n,dose_mg
49,Ahonen 1995,Control (Perpetrator Placebo),0.0,0.0,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),0.5,15.6351,23.0919,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),1.0,28.0034,16.0241,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),1.5,23.5013,10.8416,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),2.0,18.455,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),3.0,11.7641,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),4.0,8.4751,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),5.0,5.3221,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),6.0,4.0738,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),7.0,3.5058,,12,7.5
49,Ahonen 1995,Control (Perpetrator Placebo),17.0,0.5447,,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),74.0,0.0,,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),74.5,40.26,61.2704,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),75.0,64.1932,41.4759,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),75.5,64.4534,25.4501,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),76.0,63.4891,22.151,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),77.0,54.0767,16.4954,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),78.0,46.1614,16.0241,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),79.0,34.5732,16.9667,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),80.0,27.8829,12.725,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),81.0,24.8664,,12,7.5
50,Ahonen 1995,with Perpetrator (Itraconazole),91.0,10.0673,,12,7.5
51,Allonen 1981,oral,0.1666666716337204,10.3399,24.8122,6,15.0
51,Allonen 1981,oral,0.3333333432674408,173.1485,28.2111,6,15.0
51,Allonen 1981,oral,0.75,173.8283,13.2558,6,15.0
51,Allonen 1981,oral,1.0,153.7746,22.093,6,15.0
51,Allonen 1981,oral,1.5,153.0948,27.1914,6,15.0
51,Allonen 1981,oral,2.0,130.6619,19.3739,6,15.0
51,Allonen 1981,oral,2.5,120.1252,11.2165,6,15.0
51,Allonen 1981,oral,3.0,105.1699,13.5957,6,15.0
51,Allonen 1981,oral,4.0,86.4758,17.6744,6,15.0
51,Allonen 1981,oral,5.0,61.6637,13.9356,6,15.0
51,Allonen 1981,oral,6.0,30.7335,14.2755,6,15.0
51,Allonen 1981,oral,7.0,15.0984,18.6941,6,15.0
53,Backman 1996,Control (Perpetrator Placebo),0.5,8.5872,10.0961,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),1.0,46.5688,24.0217,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),1.5,43.4862,14.6219,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),2.0,37.4312,9.3998,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),3.0,23.6697,9.7479,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),4.0,17.0642,8.3554,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),5.0,10.4587,5.2221,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),6.0,7.4862,3.4814,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),8.0,5.0642,,10,15.0
53,Backman 1996,Control (Perpetrator Placebo),10.0,3.3028,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),113.5,1.9817,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),114.0,2.2018,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),114.5,2.2018,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),115.0,1.7615,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),116.0,0.9908,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),117.0,0.6606,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),118.0,0.3303,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),119.0,0.2202,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),121.0,0.0,,10,15.0
54,Backman 1996,with Perpetrator (Rifampicin),123.0,0.0,,10,15.0
55,Backman 1998,Phase I (Control (Perpetrator Placebo)),0.5,25.1012,38.8664,9,15.0
55,Backman 1998,Phase I (Control (Perpetrator Placebo)),1.0,47.3684,38.8664,9,15.0
55,Backman 1998,Phase I (Control (Perpetrator Placebo)),1.5,53.8462,37.6518,9,15.0
