study_id,study_label,reference,grouping,n,dose_mg,n_timepoints,time_range_h,data_type,fasted_fed
49,Ahonen 1995,http://www.ncbi.nlm.nih.gov/pubmed/8527290,Control (Perpetrator Placebo),12,7.5,11,0.0-17.0,Aggregated,fasted
50,Ahonen 1995,http://www.ncbi.nlm.nih.gov/pubmed/8527290,with Perpetrator (Itraconazole),12,7.5,11,74.0-91.0,Aggregated,fasted
51,Allonen 1981,https://www.ncbi.nlm.nih.gov/pubmed/6117393,oral,6,15.0,12,0.2-7.0,Aggregated,Fasted
53,Backman 1996,https://www.ncbi.nlm.nih.gov/pubmed/8549036,Control (Perpetrator Placebo),10,15.0,10,0.5-10.0,Aggregated,fasted
54,Backman 1996,https://www.ncbi.nlm.nih.gov/pubmed/8549036,with Perpetrator (Rifampicin),10,15.0,10,113.5-123.0,Aggregated,fasted
55,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase I (Control (Perpetrator Placebo)),9,15.0,10,0.5-10.0,Aggregated,Fasted
56,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase IV (during Perpetrator (Rifampicin)),9,15.0,4,113.5-115.0,Aggregated,Fasted
57,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase V (4 days after Perpetrator (Rifampicin)),9,15.0,7,185.5-190.0,Aggregated,Fasted
58,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase II (during Perpetrator (Itraconazole)),9,15.0,11,74.5-93.0,Aggregated,Fasted
59,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase III (4 days after Perpetrator (Itraconazole)),9,15.0,11,170.5-189.0,Aggregated,Fasted
104,Bornemann 1986,https://www.ncbi.nlm.nih.gov/pubmed/2936766,1 h after a meal,18,15.0,13,1.5-11.0,Aggregated,Fed
105,Bornemann 1986,https://www.ncbi.nlm.nih.gov/pubmed/2936766,1 h before a meal,18,15.0,14,0.2-10.0,Aggregated,Fasted
106,Bornemann 1986,https://www.ncbi.nlm.nih.gov/pubmed/2936766,with a meal,18,15.0,15,0.2-12.0,Aggregated,Fed
107,Bornemann 1986,https://www.ncbi.nlm.nih.gov/pubmed/2936766,fasting condition,18,15.0,14,0.2-10.0,Aggregated,Fasted
112,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,Control (Perpetrator Placebo),18,,7,0.5-6.0,Aggregated,Fasted
113,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Rifampicin),18,,5,166.2-168.0,Aggregated,Fasted
114,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Ketoconazole),18,,9,118.5-148.0,Aggregated,Fasted
118,Darwish 2008,https://www.ncbi.nlm.nih.gov/pubmed/18076219,oral,24,5.0,14,0.2-24.0,Aggregated,Fasted
128,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg Control (Perpetrator Placebo),21,0.075,7,0.5-6.0,Aggregated,Fasted
129,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg with Perpetrator (Rifampicin),4,0.075,6,90.5-94.0,Aggregated,Fasted
130,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg with Perpetrator (Ketoconazole),4,0.075,7,48.5-54.0,Aggregated,Fasted
131,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,7.5 mg Control (Perpetrator Placebo),13,7.5,8,0.5-8.0,Aggregated,Fasted
132,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,7.5 mg with Perpetrator (Rifampicin),4,7.5,8,114.5-122.0,Aggregated,Fasted
184,Greenblat 1984,https://www.ncbi.nlm.nih.gov/pubmed/6742481,"po - f, 136kg, 36y (obese female)",10,10.0,13,0.5-24.0,Typical,Fasted
185,Greenblat 1984,https://www.ncbi.nlm.nih.gov/pubmed/6742481,"po - f, 61kg, 37y (normal female)",10,10.0,12,0.2-12.0,Typical,Fasted
186,Greenblat 1984,https://www.ncbi.nlm.nih.gov/pubmed/6742481,"po - m, 70kg, 32y (young male)",10,10.0,12,0.2-8.0,Typical,Fasted
187,Greenblat 1984,https://www.ncbi.nlm.nih.gov/pubmed/6742481,"po - m, 80kg, 70y (elderly male)",9,10.0,12,0.5-24.0,Typical,Fasted
188,Greenblat 2003,https://www.ncbi.nlm.nih.gov/pubmed/12891222,Control (Perpetrator Placebo),25,6.0,10,0.5-8.0,Aggregated,
189,Greenblat 2003,https://www.ncbi.nlm.nih.gov/pubmed/12891223,with Perpetrator (GFJ),25,6.0,10,0.5-8.0,Aggregated,Fed
203,Wiesinger 2020,https://www.ncbi.nlm.nih.gov/pubmed/32275771,Control phase (no RIF),65,1.0,14,0.5-24.0,Aggregated,
204,Wiesinger 2020,https://www.ncbi.nlm.nih.gov/pubmed/32275771,Weak-induction phase (RIF 10 mg),65,1.0,14,180.5-204.0,Aggregated,
205,Wiesinger 2020,https://www.ncbi.nlm.nih.gov/pubmed/32275771,Strong-induction phase (RIF 600 mg),65,1.0,14,444.5-468.0,Aggregated,
214,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,Control pre-Rifampicin (Perpetrator Placebo),19,8.0,10,0.2-6.0,Aggregated,Fasted
215,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,with Perpetrator (Rifampicin),19,8.0,10,146.2-152.0,Aggregated,
216,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,Control pre-Clarithromycin (Perpetrator Placebo),19,8.0,10,0.2-6.0,Aggregated,Fasted
217,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,with Perpetrator (Clarithomycin),19,8.0,10,146.2-152.0,Aggregated,
218,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,Control pre-Black cohosh (Perpetrator Placebo),19,8.0,10,0.2-6.0,Aggregated,Fasted
219,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,Control pre-Milk thistle (Perpetrator Placebo),19,8.0,10,0.2-6.0,Aggregated,Fasted
220,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,Control pre-Rifampicin (Perpetrator Placebo),16,8.0,11,0.0-6.0,Aggregated,Fasted
221,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,with Perpetrator (Rifampicin),16,8.0,11,146.0-152.0,Aggregated,
222,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,Control pre-Clarithromycin (Perpetrator Placebo),16,8.0,11,0.0-6.0,Aggregated,Fasted
223,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,with Perpetrator (Clarithomycin),16,8.0,11,146.0-152.0,Aggregated,
224,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,Control pre-Goldenseal (Perpetrator Placebo),16,8.0,11,0.0-6.0,Aggregated,Fasted
225,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,Control pre-Kava kava (Perpetrator Placebo),16,8.0,11,0.0-6.0,Aggregated,Fasted
263,Hohmann 2015,https://www.ncbi.nlm.nih.gov/pubmed/25588320,po 0.003 mg,16,0.003,13,0.2-24.0,Aggregated,Fasted
264,Hohmann 2015,https://www.ncbi.nlm.nih.gov/pubmed/25588320,po 3 mg,16,3.0,13,0.2-24.0,Aggregated,Fasted
285,Kharasch 2004,https://www.ncbi.nlm.nih.gov/pubmed/15536460,po #1 Control (Perpetrator Placebo),10,3.0,16,0.1-9.0,Aggregated,Fasted
286,Kharasch 2004,https://www.ncbi.nlm.nih.gov/pubmed/15536460,po #1 with Perpetrator (Rifampicin),10,3.0,13,128.1-134.0,Aggregated,Fasted
303,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po Control (Perpetrator Placebo),12,3.0,21,0.0-9.0,Aggregated,
304,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 5 mg),12,3.0,22,132.0-141.0,Aggregated,
305,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 10 mg),12,3.0,22,132.0-140.0,Aggregated,
306,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 25 mg),12,3.0,22,132.0-139.0,Aggregated,
