study_id,study_label,dose_mg,n,n_timepoints,rmse_ngml,auc_ratio,cmax_ratio,mpe_pct,wrmse_ngml,within_2fold
49,Ahonen 1995,7.5,12,10,21.06,1.284,2.579,39.9,28.55,TRUE
53,Backman 1996,15,10,10,49.87,1.502,3.102,171,33.9,TRUE
107,Bornemann 1986,15,18,14,49.45,1.353,2.677,96.7,NA,TRUE
118,Darwish 2008,5,24,14,17.95,1.778,3.156,121.5,1.8,TRUE
203,Wiesinger 2020,1,65,14,1.85,1.423,2.103,19.5,NA,TRUE
264,Hohmann 2015,3,16,13,10.98,2.387,3.377,136.7,NA,FALSE
303,Kharasch 2011,3,12,20,9.68,1.718,2.058,96,14.16,TRUE
365,Olkkola 1993,15,12,11,61.4,1.243,2.993,2856.9,101.2,TRUE
374,Olkkola 1996,7.5,12,9,22.16,1.495,2.791,47.5,NA,TRUE
1361,Chattopadhyay 2018,1,11,15,2.41,1.963,3.063,65.4,2.48,TRUE
16500,Mueller 2009,7.5,20,15,23.96,1.1,1.928,77.8,7.32,TRUE
16647,Zahner 2019,1,20,14,2.77,1.662,2.102,86.3,NA,TRUE
