study_id,study_label,formulation,dose_mg,dn_factor,n_points,obs_Cmax_DN,pred_Cmax,Cmax_ratio,obs_AUC_DN,pred_AUC,AUC_ratio,RMSE,MPE_pct,in_qualification_set,within_2fold
16000,Lundahl 1997,ER,10.0,1.0,16,2.14,8.95,4.181,22.58,33.19,1.47,3.13,318.1,False,True
16002,Edgar 1987,IR/solution,10.0,1.0,13,8.57,8.95,1.044,26.57,29.96,1.128,0.74,4.4,True,True
16003,Edgar 1987,IR/solution,10.0,1.0,15,3.84,8.95,2.329,16.17,30.01,1.856,3.2,132.9,True,True
16004,Edgar 1987,ER,10.0,1.0,12,2.42,8.95,3.693,18.74,29.76,1.588,3.89,269.3,False,True
16005,Bailey 1996,ER,10.0,1.0,12,2.81,8.95,3.182,25.56,35.42,1.386,3.6,218.2,False,True
16006,Jalava 1997,unknown,5.0,2.0,12,2.13,8.95,4.204,39.93,34.89,0.874,3.71,320.4,False,True
16007,Blychert 1990,IR/solution,10.0,1.0,14,10.66,8.95,0.84,32.53,29.51,0.907,0.91,-16.0,True,True
16008,Blychert 1990,IR/solution,10.0,1.0,14,6.24,8.95,1.433,31.53,29.51,0.936,1.74,43.3,True,True
16009,Blychert 1990,IR/solution,10.0,1.0,14,10.14,8.95,0.883,35.63,29.51,0.828,0.76,-11.7,True,True
16010,Blychert 1990,IR/solution,10.0,1.0,14,7.7,8.95,1.162,31.0,34.25,1.105,2.35,16.2,True,True
16011,Blychert 1990,ER,10.0,1.0,12,2.38,8.95,3.763,31.21,34.19,1.095,3.66,276.3,False,True
16012,Blychert 1990,ER,10.0,1.0,11,2.69,8.95,3.322,31.74,33.11,1.043,3.08,232.2,False,True
16014,Bailey 2003,ER,10.0,1.0,11,2.33,8.95,3.84,11.19,26.38,2.358,4.15,284.0,False,False
16015,Bailey 2000,ER,10.0,1.0,11,1.99,8.95,4.488,9.4,26.38,2.806,4.31,348.8,False,False
16016,Bailey 1998,ER,10.0,1.0,13,3.63,8.95,2.466,20.28,29.38,1.449,3.39,146.6,False,True
16017,Guo 2007 ,ER,10.0,1.0,10,6.45,8.95,1.387,27.7,29.39,1.061,2.1,38.7,False,True
16018,Dresser 2002,ER,10.0,1.0,11,1.76,8.95,5.081,8.84,26.38,2.985,4.21,408.1,False,False
16019,Smith 1987,IR/solution,10.0,1.0,10,8.26,8.95,1.083,42.22,29.65,0.702,1.56,8.3,True,True
16020,Madsen 1996,ER,10.0,1.0,14,1.87,8.95,4.773,18.55,36.99,1.994,3.43,377.3,False,True
16021,Lundahl 1998,ER,10.0,1.0,34,3.59,8.95,2.491,242.76,76.63,0.316,2.75,149.1,False,False
16022,Dresser 2017,ER,10.0,1.0,13,2.33,8.95,3.84,12.98,26.31,2.028,3.7,284.0,False,False
16023,Bailey 1995,ER,10.0,1.0,12,2.83,8.95,3.16,25.81,35.42,1.372,3.61,216.0,False,True
16024,Aberg 1997,ER,10.0,1.0,17,2.67,8.95,3.346,27.35,32.95,1.204,2.71,234.6,False,True
16025,Dresser 2000,ER,5.0,2.0,12,1.9,8.95,4.702,18.25,35.42,1.941,3.86,370.2,False,True
16026,Dresser 2000,ER,,1.0,12,1.45,8.95,6.151,21.0,35.42,1.687,3.82,515.1,False,True
16027,Bailey 1993,IR/solution,5.0,2.0,11,4.92,8.95,1.819,16.64,26.38,1.586,2.4,81.9,True,True
16028,Goosen 2004,ER,5.0,2.0,14,1.77,8.95,5.063,26.54,33.51,1.263,3.6,406.3,False,True
16029,Edgar 1992,IR/solution,5.0,2.0,11,4.11,8.95,2.176,15.73,26.38,1.677,2.55,117.6,True,True
