Fg,Cmax_ngmL,AUC_ngmL_h,Foral
0.5367,9.6,35.76,0.2607
0.4411,7.89,29.39,0.2142
0.629,11.25,41.91,0.3055
0.6233,11.15,41.53,0.3027
0.6649,11.89,44.3,0.323
0.5918,10.58,39.43,0.2874
0.4331,7.75,28.86,0.2104
0.5586,9.99,37.22,0.2713
0.4622,8.27,30.79,0.2245
0.4094,7.32,27.28,0.1989
0.3208,5.74,21.38,0.1558
0.6174,11.04,41.14,0.2999
0.4577,8.19,30.5,0.2223
0.4933,8.82,32.87,0.2396
0.71,12.7,47.3,0.3448
0.85,15.2,56.63,0.4129
0.5877,10.51,39.16,0.2855
0.6332,11.32,42.19,0.3075
0.3992,7.14,26.6,0.1939
0.6101,10.91,40.65,0.2963
0.575,10.28,38.31,0.2793
0.5849,10.46,38.97,0.2841
0.5272,9.43,35.13,0.2561
0.5446,9.74,36.29,0.2645
0.5838,10.44,38.9,0.2836
0.4457,7.97,29.7,0.2165
0.5458,9.76,36.36,0.2651
0.5433,9.72,36.2,0.2639
0.6528,11.68,43.5,0.3171
0.5553,9.93,37.0,0.2697
0.5154,9.22,34.34,0.2504
0.4408,7.88,29.37,0.2141
0.6752,12.08,44.99,0.3279
0.4696,8.4,31.29,0.2281
0.5268,9.42,35.1,0.2559
0.6329,11.32,42.17,0.3074
0.2569,4.59,17.12,0.1248
0.4243,7.59,28.27,0.2061
0.5213,9.32,34.73,0.2532
0.5465,9.77,36.41,0.2654
0.5853,10.47,39.0,0.2843
0.3178,5.68,21.18,0.1544
0.4805,8.59,32.02,0.2334
0.6069,10.85,40.44,0.2948
0.3952,7.07,26.33,0.192
0.5626,10.06,37.48,0.2732
0.6637,11.87,44.22,0.3224
0.4584,8.2,30.54,0.2226
0.7069,12.64,47.1,0.3433
0.5399,9.66,35.97,0.2622
