outcome,parameter,label,mu_star,mu,sigma
AUC,CL_L_h,Clearance (CL),51.02271198331888,-51.02271198331888,63.68813120894087
AUC,dose_mg,Dose,41.974594444832974,41.974594444832974,37.3950234175267
AUC,Fg,Gut avail. (Fg),29.653954982765363,29.653954982765363,23.91779593176512
AUC,Fh,Hepatic avail. (Fh),28.748233620844236,28.748233620844236,30.505594557857055
AUC,S0_ug_mL,Intrinsic solubility (S0),27.79843159792726,27.79843159792726,56.07789086487432
AUC,particle_radius_um,Particle radius,11.92363383626245,-11.92363383626245,20.978433410950288
AUC,gastric_pH,Gastric pH,8.706224200214951,-8.706219553815227,16.753224203606575
AUC,Deff_cm2_s,Diffusion coeff. (Deff),7.836014237910516,7.83600697028945,9.85412683123877
AUC,Peff_cm_s,Permeability (Peff),4.386407573748226,4.386407573748226,9.039790373088483
AUC,pKa,pKa,3.794060242373665,3.794060242373665,7.8588710671125215
AUC,gastric_transit_h,Gastric transit,3.0298878733928944,2.8918348656446273,5.921782456485437
AUC,density_g_cm3,Particle density,1.8300643734985027,-1.8300643730667907,3.0406671673417507
AUC,bile_factor_duo,Bile factor (duodenum),1.717768268199729,1.717768268079221,3.4144441335738542
AUC,Vc_L,Central vol. (Vc),1.5748382661866,-1.5748382661866,4.218882114666595
AUC,jejunal_transit_h,Jejunal transit,1.2959764218391419,1.2959589388835142,2.9017667790925574
