outcome,parameter,label,mu_star,mu,sigma
Cmax,dose_mg,Dose,9.604355499121606,9.604355499121606,10.503210793078209
Cmax,Fg,Gut avail. (Fg),6.853784935718857,6.853784935718857,7.564012243142748
Cmax,S0_ug_mL,Intrinsic solubility (S0),6.50743181275882,6.499172107417571,8.571178045583023
Cmax,Vc_L,Central vol. (Vc),6.331558344356216,-6.331558344356216,7.782280095537136
Cmax,Fh,Hepatic avail. (Fh),6.171395089272429,6.171395089272429,8.069281279805155
Cmax,gastric_pH,Gastric pH,5.696061358483415,-5.679215491751284,18.365620205273043
Cmax,CL_L_h,Clearance (CL),4.742727887828533,-4.742727887828533,7.624365173423875
Cmax,Peff_cm_s,Permeability (Peff),3.893400441773046,3.8920059402182354,11.439085571248176
Cmax,particle_radius_um,Particle radius,3.6141092451155234,-3.6140978412989146,5.412365537697715
Cmax,gastric_transit_h,Gastric transit,2.7945084608418904,-2.4870648689573143,3.085991588101422
Cmax,bile_factor_duo,Bile factor (duodenum),1.8003697789566964,1.7977641692846975,2.8301268247936755
Cmax,Deff_cm2_s,Diffusion coeff. (Deff),1.7398618830761001,1.739860459666297,2.485691366727869
Cmax,pKa,pKa,1.3908684940097726,1.386185106706734,1.9334421674071975
Cmax,density_g_cm3,Particle density,0.512334582178218,-0.5123250745644657,0.783180610087099
Cmax,jejunal_transit_h,Jejunal transit,0.08684471629658891,0.06089301099905511,0.2805480871780726
