case,enzyme,Ki_uM,Imax_u_uM,Igut_uM,R1,R1_flag,R1_gut,R1_gut_flag,has_TDI,kinact,KI_uM,TDI_factor,kdeg
midazolam_ketoconazole,CYP3A4,0.015,0.15185443049884279,3010.744594772595,11.123628699922852,TRUE,200717.306318173,TRUE,TRUE,0.048,0.86,0.0425327289680746,3.2e-4
midazolam_ketoconazole,CYP2C9,10,0.15185443049884279,3010.744594772595,1.0151854430498843,FALSE,302.0744594772595,TRUE,FALSE,NA,NA,1,3.2e-4
midazolam_ketoconazole,CYP2C19,3.4,0.15185443049884279,3010.744594772595,1.0446630677937774,TRUE,886.5131161095868,TRUE,FALSE,NA,NA,1,3.2e-4
midazolam_ketoconazole,CYP2D6,100,0.15185443049884279,3010.744594772595,1.0015185443049883,FALSE,31.10744594772595,TRUE,FALSE,NA,NA,1,3.2e-4
midazolam_ketoconazole,CYP1A2,100,0.15185443049884279,3010.744594772595,1.0015185443049883,FALSE,31.10744594772595,TRUE,FALSE,NA,NA,1,3.2e-4
sotorasib_perpetrator,CYP3A4,10,1.5442383160899036,6849.803781662504,1.1544238316089903,TRUE,685.9803781662504,TRUE,TRUE,0.04,3.5,0.025466429755683296,3.2e-4
sotorasib_perpetrator,CYP2C8,0.8,1.5442383160899036,6849.803781662504,2.9302978951123793,TRUE,8563.254727078129,TRUE,FALSE,NA,NA,1,3.2e-4
sotorasib_perpetrator,CYP2C9,50,1.5442383160899036,6849.803781662504,1.0308847663217982,TRUE,137.9960756332501,TRUE,FALSE,NA,NA,1,3.2e-4
sotorasib_perpetrator,CYP2C19,50,1.5442383160899036,6849.803781662504,1.0308847663217982,TRUE,137.9960756332501,TRUE,FALSE,NA,NA,1,3.2e-4
sotorasib_perpetrator,CYP2D6,50,1.5442383160899036,6849.803781662504,1.0308847663217982,TRUE,137.9960756332501,TRUE,FALSE,NA,NA,1,3.2e-4
sotorasib_perpetrator,CYP1A2,50,1.5442383160899036,6849.803781662504,1.0308847663217982,TRUE,137.9960756332501,TRUE,FALSE,NA,NA,1,3.2e-4
