time_h,time_d,A_gut,A_central,C_mgL,C_uM,KRAS_GDP,KRAS_GTP,KRAS_drug,TE,KRAS_GTP_norm,R,E,E_norm,T,T_change_pct,Z
0.0,0.0,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039364,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.5,0.020833333333333332,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039364,0.0,0.0,1.0,1.0,1.0,1.0,1.0002000150000834,0.020001500008337558,0.0
1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039365,0.0,0.0,1.0000000000000002,1.0,1.0,1.0,1.0004000600006655,0.04000600006655031,0.0
1.5,0.0625,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039365,0.0,0.0,1.0000000000000002,1.0,1.0,1.0,1.0006001350022444,0.06001350022444285,0.0
2.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039366,0.0,0.0,1.0000000000000002,1.0,1.0,1.0,1.000800240005315,0.08002400053150893,0.0
2.5,0.10416666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039366,0.0,0.0,1.0000000000000002,1.0,1.0,1.0,1.001000375010372,0.10003750103719788,0.0
3.0,0.125,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.001200540017907,0.12005400179069259,0.0
3.5,0.14583333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0014007350284109,0.1400735028410871,0.0
4.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0016009600423723,0.16009600423723125,0.0
4.5,0.1875,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0018012150602782,0.1801215060278194,0.0
5.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0020015000826141,0.20015000826141272,0.0
5.5,0.22916666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0022018151098637,0.2201815109863725,0.0
6.0,0.25,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0024021601425086,0.24021601425086025,0.0
6.5,0.2708333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0026025351810288,0.260253518102882,0.0
7.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.002802940225903,0.28029402259031055,0.0
7.5,0.3125,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0030033752776077,0.3003375277607745,0.0
8.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.003203840336618,0.32038403366179136,0.0
8.5,0.3541666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0034043354034068,0.34043354034067885,0.0
9.0,0.375,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.003604860478446,0.36048604784459926,0.0
9.5,0.3958333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.003805415562205,0.3805415562204928,0.0
10.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0040060006551517,0.40060006551516647,0.0
10.5,0.4375,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0042066157577525,0.42066157577524965,0.0
11.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.004407260870472,0.44072608704719407,0.0
11.5,0.4791666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0046079359937727,0.4607935993772738,0.0
12.0,0.5,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.004808641128116,0.48086411281160757,0.0
12.5,0.5208333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.005009376273961,0.5009376273960919,0.0
13.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0052101414317653,0.5210141431765347,0.0
13.5,0.5625,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0054109366019848,0.5410936601984773,0.0
14.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0056117617850735,0.5611761785073499,0.0
14.5,0.6041666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0058126169814838,0.5812616981483831,0.0
15.0,0.625,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0060135021916663,0.6013502191666298,0.0
15.5,0.6458333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0062144174160697,0.6214417416069651,0.0
16.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0064153626551415,0.6415362655141532,0.0
16.5,0.6875,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0066163379093265,0.6616337909326475,0.0
17.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.006817343179069,0.6817343179069013,0.0
17.5,0.7291666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0070183784648106,0.7018378464810571,0.0
18.0,0.75,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0072194437669912,0.721944376699124,0.0
18.5,0.7708333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0074205390860498,0.7420539086049782,0.0
19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0076216644224223,0.7621664422422292,0.0
19.5,0.8125,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0078228197765442,0.7822819776544199,0.0
20.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0080240051488485,0.802400514884849,0.0
20.5,0.8541666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0082252205397666,0.8225220539766598,0.0
21.0,0.875,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.008426465949728,0.8426465949727957,0.0
21.5,0.8958333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.008627741379161,0.8627741379160891,0.0
22.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0088290468284915,0.8829046828491505,0.0
22.5,0.9375,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.009030382298144,0.9030382298143902,0.0
23.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.009231747788541,0.9231747788541078,0.0
23.5,0.9791666666666666,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0094331433001038,0.9433143300103808,0.0
24.0,1.0,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0094331433001038,0.9433143300103808,0.0
24.5,1.0208333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0096345688332513,0.9634568833251311,0.0
25.0,1.0416666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.009836024388401,0.9836024388401032,0.0
25.5,1.0625,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0100375099659684,1.0037509965968416,0.0
26.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0102390255663678,1.0239025566367799,0.0
26.5,1.1041666666666667,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.010440571190011,1.0440571190011072,0.0
27.0,1.125,0.0,0.0,0.0,0.0,0.9015748031496064,0.09842519685039368,0.0,0.0,1.0000000000000004,1.0,1.0,1.0,1.0106421468373086,1.0642146837308575,0.0
