patient,scenario,best_change_pct,final_change_pct,change_wk9_pct,erk_rebound_72h,time_nadir_d,ttp_d,G_fb,k_GEF_basal,k_bind,rho_grow,rho_kill,tau_R,k_Z_up,alpha_Z,beta_Z,Z_0,f_block
1,nsclc_mono,-57.84840038676302,-57.84840038676302,-33.27280263822481,46.23470835645217,180.0,,0.8606907658684668,0.04863394138414632,0.16848172839399783,0.0004167291113743311,0.0042007721296023065,25.280309516333325,0.0035963017648363094,7.572907281407724,0.42821987265561295,0.2603588333965833,0.0
2,nsclc_mono,-7.589232816642822,222.22116808702114,52.02888362758091,70.56751172478675,8.0,31.0,1.3782497797708382,0.021861165841084645,0.19581479901831483,0.0006614437128795542,0.0038113673141264895,34.91754047203447,0.007938969113337996,3.16206900276127,0.8935469863719888,0.23047107251553228,0.0
3,nsclc_mono,-13.172475449683652,244.62941429638713,45.491389117727856,67.33257308357017,11.0,32.333333333333336,0.7589879059584271,0.02975270028584174,0.1405996321878296,0.00038284048099244516,0.0024028183535637227,35.79630389163442,0.004089709853025139,0.9581700551732802,1.1799138322555702,0.22310301430272098,0.0
4,nsclc_mono,-0.7676155732371348,232.4424127597715,75.34427725348823,64.1875348126603,3.0,24.333333333333332,0.6599710880476093,0.03681028666758284,0.23052672262720933,0.0010320104984372716,0.0023254405878628827,31.038057398453056,0.013632667365603956,5.62636408380189,0.7437791261698423,0.19003938345884466,0.0
5,nsclc_mono,-12.117837983332436,157.87774670151063,21.173008356881894,80.16439935847342,15.0,46.0,0.7785618656612731,0.017243431665680077,0.12275301389720351,0.0004097966055247137,0.006626427042692365,36.4087188070543,0.003988572470619902,3.526165985216878,0.9295638321220747,0.567405378350434,0.0
6,nsclc_mono,-72.82876910241993,-72.82876910241993,-43.35516411002588,48.52226486954036,180.0,,0.9439245407701305,0.023737806153435192,0.1322671526987584,0.00037311694215738666,0.0035612766165172846,25.79324404611442,0.0033078880084101803,4.756843525050164,0.3850197600822979,0.2801835770567644,0.0
7,nsclc_mono,-33.67170265778891,91.08529275393822,-18.485471812980634,62.73883982204603,26.0,60.333333333333336,2.0604377622305297,0.02179414686586946,0.17213713563952213,0.0005420753792183328,0.0048822439766971525,21.319541080840775,0.0029110098275724177,4.343409830020866,0.9176393390573888,0.012004041354354395,0.0
8,nsclc_mono,-65.47102655347616,-65.47102655347616,-42.35286386660147,25.390529312220693,180.0,,0.35241815008147176,0.014849760501419017,0.2679779968811176,0.0008544269583476588,0.00198770863771792,70.25610402248401,0.00421838830771106,1.47206281136747,0.5522090109073464,0.017114106833065426,0.0
9,nsclc_mono,-22.31747439560081,7.421406239191164,-17.027031519858284,45.04381690333826,26.0,113.33333333333333,0.6939632187167357,0.02304309518821187,0.18338644715367464,0.0005549062905446781,0.00702124497838951,36.118025123717516,0.0040181759118642435,10.348609994647374,0.7602901259477568,0.12422669425243171,0.0
10,nsclc_mono,-2.552608359048625,374.32403340510166,215.53459565468484,71.11398101560053,4.666666666666667,26.0,0.6065148865490346,0.031844954791691624,0.12447159073973871,0.0017651173786473239,0.005069047265220839,48.06281328505769,0.006935605432263877,2.8854135499020352,0.8607715401266359,0.3992892026038143,0.0
